metric,n_obs,fit_status,aicc,ljung_box_p,ljung_box_status,jarque_bera_p,jarque_bera_status,arch_p,arch_status,ar_roots,ma_roots,root_status,overall_status
RTT waiting list (level),76,SUCCESS,-365.27684555216933,0.9839437969368723,PASS,0.0,FAIL,0.0008368363498392348,FAIL,"[1.21782172132237, 1.2178217213223705, 1.2178217213223705, 1.2178217213223712]","[1.476886520948393, 1.4768865209483961, 1.4768865209483961, 1.4768865209483941, 1.7505480285705468]",PASS,FAIL
A&E attendances (flow),64,SUCCESS,-139.71830814478105,0.9835391692167627,PASS,1.002938077713874e-24,FAIL,0.4471569999270858,PASS,[1.3563536687785336],[],PASS,FAIL
Workforce FTE (level),67,SUCCESS,-492.6263616123552,0.9999999999478347,PASS,0.0,FAIL,0.18632936343967516,PASS,"[1.155192245305434, 1.155192245305434, 1.1551922453054335, 1.6899207051587704, 1.1551922453054322, 2.318291416286294]","[2.0786221188203546, 2.078622118820355, 2.078622118820355, 2.0786221188203564]",PASS,FAIL
Bed occupancy (level),57,SUCCESS,-240.18079815347073,0.9999891093020667,PASS,0.0,FAIL,0.4896219995583069,PASS,"[1.131551135649625, 1.1315511356496275, 1.1315511356496275, 1.1315511356496268]","[1.546732232038539, 1.5467322320385377, 1.5467322320385377, 1.5467322320385417, 2.175751433965621]",PASS,FAIL
RTT % within 18 weeks (performance),76,SUCCESS,-284.82448853780005,0.9998629875414721,PASS,0.0,FAIL,0.014461302776006189,FAIL,[],[2.334305351749549],PASS,FAIL
A&E 12-hour decisions to admit (breach flow),22,SUCCESS,-16.994372065640782,0.7462403870660625,PASS,0.19361782878103326,PASS,0.8284399552022327,PASS,"[1.0909911733607742, 1.0909911733607738, 1.0909911733607738, 1.0909911733607738]",[],PASS,PASS
