date,metric,value,source
2011-01-01,other_emergency_admissions_ie_not_via_ae,124442.28571428572,NHS England A&E
2011-01-01,emergency_admissions_via_type_2_ae,5567.142857142855,NHS England A&E
2011-01-01,total_attendances,1727796.7142857143,NHS England A&E
2011-01-01,emergency_admissions_via_type_1_ae,308367.8571428572,NHS England A&E
2011-01-01,type_2_departments_single_specialty,51584.857142857145,NHS England A&E
2011-01-01,emergency_admissions_via_type_3_and_4_ae,3626.4285714285716,NHS England A&E
2011-02-01,total_emergency_admissions_via_ae,281125.14285714284,NHS England A&E
2011-02-01,type_2_departments_single_specialty,51249.285714285725,NHS England A&E
2011-02-01,type_3_departments_other_ae_minor_injury_unit,494407.57142857113,NHS England A&E
2011-02-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,2.7142857142857135,NHS England A&E
2011-02-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,7872.428571428576,NHS England A&E
2011-02-01,emergency_admissions_via_type_2_ae,1678.0000000000002,NHS England A&E
2011-02-01,other_emergency_admissions_ie_not_via_ae,120081.28571428575,NHS England A&E
2011-02-01,emergency_admissions_via_type_1_ae,276645.85714285716,NHS England A&E
2011-02-01,total_attendances,1599364.000000001,NHS England A&E
2011-02-01,type_1_departments_major_ae,1053707.1428571425,NHS England A&E
2011-02-01,emergency_admissions_via_type_3_and_4_ae,2801.2857142857165,NHS England A&E
2011-02-01,operational_standard_performance,0.95,NHS England A&E
2011-02-01,total_emergency_admissions,401206.4285714287,NHS England A&E
2011-03-01,other_emergency_admissions_ie_not_via_ae,132369.57142857142,NHS England A&E
2011-03-01,type_2_departments_single_specialty,57900.428571428565,NHS England A&E
2011-03-01,total_emergency_admissions_via_ae,314475.99999999994,NHS England A&E
2011-03-01,total_emergency_admissions,446845.5714285715,NHS England A&E
2011-03-01,total_attendances,1863441.0,NHS England A&E
2011-03-01,emergency_admissions_via_type_3_and_4_ae,3821.5714285714294,NHS England A&E
2011-03-01,operational_standard_performance,0.95,NHS England A&E
2011-03-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,0.5714285714285714,NHS England A&E
2011-03-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,8602.142857142855,NHS England A&E
2011-03-01,emergency_admissions_via_type_1_ae,308390.1428571428,NHS England A&E
2011-03-01,emergency_admissions_via_type_2_ae,2264.2857142857147,NHS England A&E
2011-03-01,type_1_departments_major_ae,1225221.9999999993,NHS England A&E
2011-03-01,type_3_departments_other_ae_minor_injury_unit,580318.5714285714,NHS England A&E
2011-04-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,6.428571428571429,NHS England A&E
2011-04-01,other_emergency_admissions_ie_not_via_ae,117657.28571428568,NHS England A&E
2011-04-01,total_emergency_admissions,419243.2857142858,NHS England A&E
2011-04-01,total_attendances,1844374.8571428566,NHS England A&E
2011-04-01,type_2_departments_single_specialty,54042.42857142857,NHS England A&E
2011-04-01,total_emergency_admissions_via_ae,301585.99999999994,NHS England A&E
2011-04-01,emergency_admissions_via_type_1_ae,295579.85714285716,NHS England A&E
2011-04-01,operational_standard_performance,0.95,NHS England A&E
2011-04-01,emergency_admissions_via_type_2_ae,2939.4285714285716,NHS England A&E
2011-04-01,type_1_departments_major_ae,1197212.7142857148,NHS England A&E
2011-04-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,7530.571428571423,NHS England A&E
2011-04-01,emergency_admissions_via_type_3_and_4_ae,3066.7142857142844,NHS England A&E
2011-04-01,type_3_departments_other_ae_minor_injury_unit,593119.7142857146,NHS England A&E
2011-05-01,type_3_departments_other_ae_minor_injury_unit,594940.7142857144,NHS England A&E
2011-05-01,total_emergency_admissions_via_ae,305728.57142857136,NHS England A&E
2011-05-01,total_attendances,1873695.142857144,NHS England A&E
2011-05-01,type_1_departments_major_ae,1221687.4285714289,NHS England A&E
2011-05-01,operational_standard_performance,0.95,NHS England A&E
