metric,raw_metric_name,quarter,type,value,ci_lower,ci_upper
Workforce FTE (level),FTE: All staff groups - All staff groups,2012-01-01,history,984180.98851,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2012-04-01,history,973595.58562,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2012-07-01,history,975876.34787,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2012-10-01,history,979203.92369,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2013-01-01,history,983720.79929,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2013-04-01,history,963470.87441,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2013-07-01,history,973261.14731,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2013-10-01,history,979728.22181,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2014-01-01,history,989318.9378,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2014-04-01,history,986024.28439,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2014-07-01,history,994357.55442,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2014-10-01,history,999079.32928,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2015-01-01,history,1006390.30769,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2015-04-01,history,1004220.10427,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2015-07-01,history,1014217.6842,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2015-10-01,history,1019676.59423,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2016-01-01,history,1027100.39706,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2016-04-01,history,1026601.07067,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2016-07-01,history,1037054.48918,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2016-10-01,history,1039065.02761,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2017-01-01,history,1047678.86963,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2017-04-01,history,1045146.23813,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2017-07-01,history,1052963.08865,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2017-10-01,history,1057900.39668,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2018-01-01,history,1064283.16466,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2018-04-01,history,1061617.05949,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2018-07-01,history,1074209.33451,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2018-10-01,history,1082977.61228,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2019-01-01,history,1093637.93156,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2019-04-01,history,1095188.73462,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2019-07-01,history,1110816.00613,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2019-10-01,history,1121676.97959,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2020-01-01,history,1139421.88515,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2020-04-01,history,1165810.48643,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2020-07-01,history,1161193.17065,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2020-10-01,history,1170770.81703,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2021-01-01,history,1197747.25932,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2021-04-01,history,1195225.27416,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2021-07-01,history,1205361.61771,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2021-10-01,history,1212477.70138,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2022-01-01,history,1226677.40548,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2022-04-01,history,1224738.80287,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2022-07-01,history,1239868.10224,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2022-10-01,history,1256840.94716,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2023-01-01,history,1280349.86365,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2023-04-01,history,1288332.14406,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2023-07-01,history,1308824.93199,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2023-10-01,history,1328644.10912,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2024-01-01,history,1345047.00137,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2024-04-01,history,1344180.09356,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2024-07-01,history,1359357.92105,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2024-10-01,history,1368034.11747,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2025-01-01,history,1378469.90711,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2025-04-01,history,1374557.013,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2025-07-01,history,1377896.59128,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2025-10-01,history,1377447.73896,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2026-01-01,history,1379060.38392,,
Workforce FTE (level),FTE: All staff groups - All staff groups,2026-03-31,forecast,1229470.855725926,1216143.1484678304,1242798.5629840218
Workforce FTE (level),FTE: All staff groups - All staff groups,2026-06-30,forecast,1229242.1346698643,1210335.8901680761,1248148.3791716525
Workforce FTE (level),FTE: All staff groups - All staff groups,2026-09-30,forecast,1228399.0899980383,1203690.1703632143,1253108.0096328624
Workforce FTE (level),FTE: All staff groups - All staff groups,2026-12-31,forecast,1228673.5255486022,1199269.5510137,1258077.5000835045
Workforce FTE (level),FTE: All staff groups - All staff groups,2027-03-31,forecast,1228506.906893151,1191515.9324364222,1265497.8813498798
Workforce FTE (level),FTE: All staff groups - All staff groups,2027-06-30,forecast,1230808.368843851,1187517.1900855922,1274099.5476021096
Workforce FTE (level),FTE: All staff groups - All staff groups,2027-09-30,forecast,1232783.573046295,1183424.9890678483,1282142.1570247419
Workforce FTE (level),FTE: All staff groups - All staff groups,2027-12-31,forecast,1235457.013723443,1180692.28139494,1290221.7460519462
Workforce FTE (level),FTE: All staff groups - All staff groups,2028-03-31,forecast,1237963.1892779197,1176788.6602829467,1299137.718272893
Workforce FTE (level),FTE: All staff groups - All staff groups,2028-06-30,forecast,1241909.758692032,1174926.0310248418,1308893.486359222
Workforce FTE (level),FTE: All staff groups - All staff groups,2028-09-30,forecast,1245763.971634351,1173183.4724360642,1318344.4708326375
Workforce FTE (level),FTE: All staff groups - All staff groups,2028-12-31,forecast,1250089.6446359444,1172310.9516785794,1327868.337593309
Workforce FTE (level),FTE: All staff groups - All staff groups,2029-03-31,forecast,1254412.3088563045,1171087.1466839567,1337737.4710286525
Workforce FTE (level),FTE: All staff groups - All staff groups,2029-06-30,forecast,1259613.0673155796,1171083.6974352761,1348142.4371958834
Workforce FTE (level),FTE: All staff groups - All staff groups,2029-09-30,forecast,1264852.2728895554,1171291.3105082985,1358413.2352708126
Workforce FTE (level),FTE: All staff groups - All staff groups,2029-12-31,forecast,1270438.8533450905,1172101.9494923134,1368775.7571978676
Workforce FTE (level),FTE: All staff groups - All staff groups,2030-03-31,forecast,1276112.9015830995,1172904.620693919,1379321.18247228
Workforce FTE (level),FTE: All staff groups - All staff groups,2030-06-30,forecast,1282357.0672858928,1174495.0430764155,1390219.0914953703
Workforce FTE (level),FTE: All staff groups - All staff groups,2030-09-30,forecast,1288711.4235875271,1176332.6772653756,1401090.1699096789
