metric,raw_metric_name,quarter,type,value,ci_lower,ci_upper
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2007-07-01,history,4092262.5,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2007-10-01,history,3907706.6666666665,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2008-01-01,history,3227740.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2008-04-01,history,2851851.6666666665,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2008-07-01,history,2653344.6666666665,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2008-10-01,history,2417778.6666666665,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2009-01-01,history,2363827.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2009-04-01,history,2487646.6666666665,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2009-07-01,history,2495869.6666666665,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2009-10-01,history,2391770.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2010-01-01,history,2357744.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2010-04-01,history,2592515.6666666665,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2010-07-01,history,2664200.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2010-10-01,history,2535837.6666666665,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2011-01-01,history,2450653.6666666665,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2011-04-01,history,2553792.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2011-07-01,history,2608097.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2011-10-01,history,2494445.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2012-01-01,history,2414568.6666666665,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2012-04-01,history,2580080.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2012-07-01,history,2682445.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2012-10-01,history,2657839.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2013-01-01,history,2635857.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2013-04-01,history,2825128.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2013-07-01,history,2920549.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2013-10-01,history,2936647.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2014-01-01,history,3009924.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2014-04-01,history,3179123.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2014-07-01,history,3233653.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2014-10-01,history,3212571.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2015-01-01,history,3165609.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2015-04-01,history,3362617.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2015-07-01,history,3492077.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2015-10-01,history,3529247.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2016-01-01,history,3593174.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2016-04-01,history,3825198.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2016-07-01,history,3906068.6666666665,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2016-10-01,history,3865288.6666666665,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2017-01-01,history,3838985.3333333335,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2017-04-01,history,3977267.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2017-07-01,history,4056080.6666666665,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2017-10-01,history,4027469.3333333335,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2018-01-01,history,4033691.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2018-04-01,history,4260600.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2018-07-01,history,4331916.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2018-10-01,history,4310882.0,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2019-01-01,history,4306726.666666667,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2019-04-01,history,4471556.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2019-07-01,history,4549465.333333333,,
RTT waiting list (level),Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,2019-10-01,history,4574742.0,,
