metric,pulse_pvalue,pulse_significant,regime_pvalue,regime_significant,trend_break_pvalue,trend_break_significant,pulse_regime_corr,r_squared
RTT waiting list (level),0.0004574993820533038,True,2.0364321361665567e-05,True,0.0019052102376204217,True,0.2660625579219582,0.9294938588776589
A&E attendances (flow),6.211872273201234e-08,True,0.021302704605581643,True,0.7387150558831084,False,0.2442631648415127,0.7107651557713686
Workforce FTE (level),0.09107147911449597,False,3.0816129527545466e-05,True,3.654496000996507e-15,True,0.2616622188608716,0.9748537138540233
