date,value,metric,source
2025-09-01,7404206,attended_telephone,NHS Digital GP Appointments Data
2025-10-01,7611869,attended_telephone,NHS Digital GP Appointments Data
2025-11-01,6859009,attended_telephone,NHS Digital GP Appointments Data
2025-12-01,7035715,attended_telephone,NHS Digital GP Appointments Data
2026-01-01,7437085,attended_telephone,NHS Digital GP Appointments Data
2026-02-01,6984952,attended_telephone,NHS Digital GP Appointments Data
2026-03-01,7659163,attended_telephone,NHS Digital GP Appointments Data
2026-04-01,6916977,attended_telephone,NHS Digital GP Appointments Data
2023-11-01,587316,attended_unknown,NHS Digital GP Appointments Data
2023-12-01,479065,attended_unknown,NHS Digital GP Appointments Data
2024-01-01,577077,attended_unknown,NHS Digital GP Appointments Data
2024-02-01,558354,attended_unknown,NHS Digital GP Appointments Data
2024-03-01,551768,attended_unknown,NHS Digital GP Appointments Data
2024-04-01,543182,attended_unknown,NHS Digital GP Appointments Data
2024-05-01,596289,attended_unknown,NHS Digital GP Appointments Data
2024-06-01,573224,attended_unknown,NHS Digital GP Appointments Data
2024-07-01,669280,attended_unknown,NHS Digital GP Appointments Data
2024-08-01,599460,attended_unknown,NHS Digital GP Appointments Data
2024-09-01,653148,attended_unknown,NHS Digital GP Appointments Data
2024-10-01,887361,attended_unknown,NHS Digital GP Appointments Data
2024-11-01,778145,attended_unknown,NHS Digital GP Appointments Data
2024-12-01,712382,attended_unknown,NHS Digital GP Appointments Data
2025-01-01,615906,attended_unknown,NHS Digital GP Appointments Data
2025-02-01,451331,attended_unknown,NHS Digital GP Appointments Data
2025-03-01,472798,attended_unknown,NHS Digital GP Appointments Data
2025-04-01,456039,attended_unknown,NHS Digital GP Appointments Data
2025-05-01,435407,attended_unknown,NHS Digital GP Appointments Data
2025-06-01,431331,attended_unknown,NHS Digital GP Appointments Data
2025-07-01,454421,attended_unknown,NHS Digital GP Appointments Data
2025-08-01,388586,attended_unknown,NHS Digital GP Appointments Data
2025-09-01,442583,attended_unknown,NHS Digital GP Appointments Data
2025-10-01,572579,attended_unknown,NHS Digital GP Appointments Data
2025-11-01,461317,attended_unknown,NHS Digital GP Appointments Data
2025-12-01,451805,attended_unknown,NHS Digital GP Appointments Data
2026-01-01,459146,attended_unknown,NHS Digital GP Appointments Data
2026-02-01,441246,attended_unknown,NHS Digital GP Appointments Data
2026-03-01,486850,attended_unknown,NHS Digital GP Appointments Data
2026-04-01,446689,attended_unknown,NHS Digital GP Appointments Data
2023-11-01,800251,attended_video_conference_online,NHS Digital GP Appointments Data
2023-12-01,716794,attended_video_conference_online,NHS Digital GP Appointments Data
2024-01-01,1008904,attended_video_conference_online,NHS Digital GP Appointments Data
2024-02-01,1108847,attended_video_conference_online,NHS Digital GP Appointments Data
2024-03-01,1132962,attended_video_conference_online,NHS Digital GP Appointments Data
2024-04-01,1244083,attended_video_conference_online,NHS Digital GP Appointments Data
2024-05-01,1296971,attended_video_conference_online,NHS Digital GP Appointments Data
2024-06-01,1256093,attended_video_conference_online,NHS Digital GP Appointments Data
2024-07-01,1445758,attended_video_conference_online,NHS Digital GP Appointments Data
2024-08-01,1335488,attended_video_conference_online,NHS Digital GP Appointments Data
2024-09-01,1446469,attended_video_conference_online,NHS Digital GP Appointments Data
2024-10-01,1646633,attended_video_conference_online,NHS Digital GP Appointments Data
2024-11-01,1562757,attended_video_conference_online,NHS Digital GP Appointments Data
2024-12-01,1484503,attended_video_conference_online,NHS Digital GP Appointments Data
2025-01-01,1979498,attended_video_conference_online,NHS Digital GP Appointments Data
2025-02-01,1948634,attended_video_conference_online,NHS Digital GP Appointments Data
2025-03-01,2130699,attended_video_conference_online,NHS Digital GP Appointments Data
2025-04-01,2051766,attended_video_conference_online,NHS Digital GP Appointments Data
2025-05-01,2086285,attended_video_conference_online,NHS Digital GP Appointments Data
2025-06-01,2237481,attended_video_conference_online,NHS Digital GP Appointments Data
2025-07-01,2443166,attended_video_conference_online,NHS Digital GP Appointments Data
2025-08-01,2116929,attended_video_conference_online,NHS Digital GP Appointments Data
2025-09-01,2557236,attended_video_conference_online,NHS Digital GP Appointments Data
2025-10-01,2923972,attended_video_conference_online,NHS Digital GP Appointments Data
2025-11-01,2716975,attended_video_conference_online,NHS Digital GP Appointments Data
2025-12-01,2836173,attended_video_conference_online,NHS Digital GP Appointments Data
2026-01-01,3098520,attended_video_conference_online,NHS Digital GP Appointments Data
2026-02-01,2986553,attended_video_conference_online,NHS Digital GP Appointments Data
2026-03-01,3400554,attended_video_conference_online,NHS Digital GP Appointments Data
2026-04-01,3168595,attended_video_conference_online,NHS Digital GP Appointments Data
2023-11-01,28243466,total_attended_appointments,NHS Digital GP Appointments Data
2023-12-01,23136653,total_attended_appointments,NHS Digital GP Appointments Data
2024-01-01,29273598,total_attended_appointments,NHS Digital GP Appointments Data
2024-02-01,27487709,total_attended_appointments,NHS Digital GP Appointments Data
2024-03-01,26582567,total_attended_appointments,NHS Digital GP Appointments Data
2024-04-01,27162430,total_attended_appointments,NHS Digital GP Appointments Data
2024-05-01,27106439,total_attended_appointments,NHS Digital GP Appointments Data
2024-06-01,25342053,total_attended_appointments,NHS Digital GP Appointments Data
2024-07-01,27774687,total_attended_appointments,NHS Digital GP Appointments Data
2024-08-01,24830871,total_attended_appointments,NHS Digital GP Appointments Data
2024-09-01,26854248,total_attended_appointments,NHS Digital GP Appointments Data
2024-10-01,33950615,total_attended_appointments,NHS Digital GP Appointments Data
2024-11-01,28118646,total_attended_appointments,NHS Digital GP Appointments Data
2024-12-01,25329232,total_attended_appointments,NHS Digital GP Appointments Data
2025-01-01,29688073,total_attended_appointments,NHS Digital GP Appointments Data
2025-02-01,26636045,total_attended_appointments,NHS Digital GP Appointments Data
2025-03-01,28201808,total_attended_appointments,NHS Digital GP Appointments Data
2025-04-01,26282416,total_attended_appointments,NHS Digital GP Appointments Data
2025-05-01,26208213,total_attended_appointments,NHS Digital GP Appointments Data
2025-06-01,27420017,total_attended_appointments,NHS Digital GP Appointments Data
2025-07-01,29206568,total_attended_appointments,NHS Digital GP Appointments Data
2025-08-01,24405997,total_attended_appointments,NHS Digital GP Appointments Data
2025-09-01,28776200,total_attended_appointments,NHS Digital GP Appointments Data
2025-10-01,34583566,total_attended_appointments,NHS Digital GP Appointments Data
2025-11-01,27789373,total_attended_appointments,NHS Digital GP Appointments Data
2025-12-01,27579507,total_attended_appointments,NHS Digital GP Appointments Data
2026-01-01,29344154,total_attended_appointments,NHS Digital GP Appointments Data
2026-02-01,27666767,total_attended_appointments,NHS Digital GP Appointments Data
2026-03-01,30470075,total_attended_appointments,NHS Digital GP Appointments Data
2026-04-01,27809233,total_attended_appointments,NHS Digital GP Appointments Data
